"","MEdarkred","MEpink","MElightgreen","MEsteelblue","MEwhite","MEyellow","MEdarkolivegreen","MEsaddlebrown","MEpaleturquoise","MEred","MEdarkmagenta","MEskyblue","MEskyblue3","MEtan","MEgreenyellow","MEyellowgreen","MEbrown","MEdarkgreen","MEdarkorange","MEgreen","MEmidnightblue","MElightcyan","MEcyan","MEsienna3","MEblack","MEsalmon","MEdarkturquoise","MEturquoise","MEblue","MElightyellow","MEorangered4","MEgrey60","MEorange","MEviolet","MEdarkgrey","MEmagenta","MEplum1","MEpurple","MEroyalblue","MEgrey"
"SLE73",-0.0879080620950964,0.077263571546073,0.154132449249704,0.220552411249434,-0.032353070354831,0.162107192074897,0.108365609456635,-0.0794201459298546,0.0899458603996128,0.0578822509183549,-0.14764905230625,-0.0254158575270633,0.0658581560933817,-0.0504622074482678,-0.00241494865271475,-0.0178161700816515,-0.0218106050514747,-0.00610822238181301,-0.0491958717101725,-0.0237023416038403,-0.0723501254568254,0.0623221690411986,-0.0808183963636331,-0.117891614346847,-0.39495598462889,-0.176736783959417,-0.0890926234434368,-0.072695058913994,-0.153101652807235,-0.199844243858245,-0.0603452765580665,-0.0637557953036351,-0.0248160488018415,-0.138728847816441,-0.293299590449987,-0.107504070314127,-0.0502096702481072,-0.0625599905894298,0.170666801280646,-0.0846834054201862
"SLE76",0.259817503989589,0.0223044988311052,0.477223798550382,0.0854713449453484,0.101069530785082,-0.0695652897928108,0.0867249121394821,-0.0371918852421095,0.102840540677702,0.119974675649068,0.0978280879665565,-0.0439768722604625,-0.0525189722616613,0.043271278016872,0.113647114372891,0.0265810594528885,0.0847998342845601,0.083015502552273,0.0380038134446252,0.259687897845427,0.197568661047185,0.23477116059897,0.0438993116368036,0.0581481619508618,-0.0434651349718011,-0.115411588960716,0.10124135382245,0.00882110081997279,0.0272378115551253,-0.0280251282762311,-0.083065333291532,0.0328578588638464,0.0751790606062552,0.11201398266651,-0.00128144531116906,0.109284856467317,-0.0038140842622863,0.0593010394899806,0.202797862944591,0.240218770675068
"SLE77",0.0963007037312065,0.110785777787919,0.0159078243698448,0.0931051835415918,-0.103816880282738,-0.0778874426946,-0.170646989118903,-0.200598308374172,-0.0746581479507412,-0.194905703122641,-0.118517408765729,-0.0661931439515442,0.00890580005997773,-0.12074994153278,-0.0873567160510747,-0.0445893578534647,-0.0843918796338683,-0.0829585511987918,-0.0857125324923756,-0.201386320465545,-0.210066040213625,0.0119561538317245,-0.0823858604090503,-0.123344259284323,-0.116393340695772,-0.163193815343164,-0.141663475499265,-0.10410492520128,-0.259387265394818,-0.301297442374764,-0.0471989448442269,-0.145765507425288,-0.0555269334919451,-0.182311843789975,-0.160677181281436,0.0248563662337997,0.20872782295992,-0.0879729817585951,-0.0394856082952044,-0.251635401794912
"SLE78",-0.0887406170031827,-0.0790825633830555,0.0219287182151753,0.0101969542376973,0.0152954343639595,-0.174463295278283,-0.282930563908002,-0.358093678905519,-0.128574666036972,-0.198078763128934,-0.070718034266706,0.0032922751567391,-0.0546250827235114,-0.0236797574533686,-0.0230685382584935,-0.199426421727482,-0.0154133978775323,0.00300467468407777,-0.0485563216626637,-0.0758511508971852,0.0127641317631848,0.266012795679973,0.0157177572888091,0.00971827762550706,-0.184527511268563,-0.139522263510328,-0.113494752695809,-0.0650585495672007,-0.108818415836591,-0.317597059716206,-0.0372308937332661,-0.082473903520304,0.0303196345566551,-0.0614582868474323,0.016499300782797,0.124494809439938,0.322758308641813,-0.0328542741370978,-0.0222448011342319,-0.033187528239416
"SLE81",0.183820478006114,0.0863690265209384,0.344236753800157,0.0875437803793571,-0.0460767939751697,-0.162049886026381,0.0570024480673985,-0.147968608799356,0.0154509586770374,0.244209605938844,0.015683090517828,-0.088770656337337,-0.136958886532156,-0.0129481802588803,0.939375732301285,0.372237789950255,0.00978999267308032,0.0684626352840335,0.00105268720031031,0.0966686606455754,0.159357875871199,0.315601195997589,-0.0497230943249695,0.0566383644512752,-0.263485031495533,-0.166404504078923,-0.00443489336913041,-0.0137767124049328,-0.0627821996715697,-0.00593694382135494,-0.0831715964266281,-0.0526222327190923,-0.0109084883504011,0.14654806692215,-0.0702054836689817,0.132076970127066,-0.188373465701777,-0.0161610713414667,0.0888329684159662,-0.0169394452387488
"SLE84",0.251216963285702,-0.0747708346844718,0.164159883354957,0.243176367898975,-0.137483092731451,-0.151758336731725,0.114730182389937,-0.00930861145405622,-0.0546257953215709,-0.0892979536322994,-0.00310301006472954,0.2901361070183,-0.00284325636836018,-0.055436720810459,-0.0470685302293043,-0.0151826569638688,-0.0517339514473129,-0.0468224017054516,-0.016375555801289,0.134466031228348,0.127048293878071,-0.0475850160407059,-0.0812263171746994,-0.0901485409158864,0.141606624639031,-0.0435090138762395,-0.00171669170039951,-0.0565557101895704,-0.234423636713519,0.143167718657294,-0.0764287566275312,0.169743209054539,-0.054709776940634,0.0845846115226064,-0.0954791497846529,-0.111313686190677,-0.0434409639412876,-0.0637040990118735,-0.0513857751131637,0.0361897968871777
"SLE89",0.160761205326831,0.915676991737119,0.248742908220967,0.427788689928139,-0.0970060487881052,0.396381338152516,0.418053336005867,0.129579902732358,0.522616575247118,-0.101120546665408,0.0203684379799649,-0.0183569283367403,0.00328098158574188,-0.132218889624851,-0.0766831510209212,-0.0551247571521216,-0.0518036192529526,-0.0399234983238879,-0.0687404049331086,-0.0744439368740923,-0.235776627907241,0.0165941348902447,-0.0842608688953362,-0.0796516380226027,-0.211028307151798,-0.181716151092239,-0.192187767503151,-0.113702011318127,-0.409898948434385,-0.285543478598885,-0.0552226955434901,-0.132805863222822,-0.0690380913326472,0.125773023948133,-0.109529010343428,0.048107137936883,-0.00149083204633791,-0.0525898327270659,0.0475008802685939,-0.307680000496331
"SLE90",0.128935352757124,0.0570710409008057,0.334778012985597,0.216769831597866,-0.0486219316519829,-0.03942846305098,0.204521051543439,0.114373901855219,0.140710132087675,0.223088587026248,-0.0834842737463751,-0.133986712933008,-0.0592967978601097,0.0194254987733641,0.0231470204399901,0.484552279566718,0.947521200157082,0.728504982339506,-0.00225178781259253,0.125722440937363,-0.060359041637079,0.213832684316006,-0.0445550331398625,-0.070378077335728,0.0954513485516631,-0.141397424309274,0.0262777739184973,-0.0315386458249169,-0.01322901322543,0.34732985354039,0.00177835678427169,-0.0442014922874783,-0.0850562504381328,0.304692105141073,0.199306307960511,0.0889614745650184,-0.0736832149535445,-0.0339872426759869,0.47206280124106,-0.0310071249483924
"SLE92",0.431639460791951,-0.0255166409563456,0.0621402226452122,0.159689618892891,0.00899160608908094,-0.111189910541778,-0.0317340598133032,0.169400282056361,-0.00188774744487576,-0.00450843701367347,0.15765748119848,-0.0220291037206195,0.0912724550329875,-0.0728763505555762,-0.0100226629217981,0.0705667682157197,-0.0361914113080848,-0.14726986213137,-0.0611525921514737,-0.0737394592012502,-0.0326607936237906,0.138834545678882,0.0150879564868902,-0.0359328797946063,0.161129194148568,0.0158455069280469,0.652910278960665,-0.0483607193635936,-0.134544204708359,0.11677979781744,0.0844848353560596,-0.0138099559851678,0.0362739534669099,0.124069247183373,0.0291220120370656,0.0706387296792916,0.627472255769278,0.952978072480003,0.611163690830087,-0.0886624374554621
"SLE94",-0.255027172919253,0.0914676884167658,-0.0498242394037337,0.123265909184603,-0.0669163785292737,0.350284422659136,-0.0548872935093667,0.121950911922663,0.018741239939623,-0.135198460606344,0.157697454483844,-0.186762038924039,-0.0370369493661048,-0.0297117564122801,-0.0491350184526986,-0.0817847532923483,-0.0472377551603161,-0.0862293323350391,-0.0625785017525859,-0.168715593377771,-0.236687275615589,0.0331346155204701,-0.0324457967321401,-0.0374518840913645,0.0232192823552545,0.00695228648762517,-0.127676051586015,-0.07564552327655,-0.229797688790746,-0.121971657285069,-0.0403767345994888,-0.061297568843313,-0.00659392551289541,0.281280516175342,0.157084239799051,0.245928935570248,0.0334826728693637,-0.0254817762486747,0.0248442048038848,-0.160843706585353
