"","MEdarkred","MEblack","MEbrown","MEpurple","MEroyalblue","MEmidnightblue","MEgreen","MEtan","MEdarkgreen","MEyellow","MEgrey60","MEblue","MEturquoise","MEred","MEpink","MEsalmon","MEcyan","MElightcyan","MEgreenyellow","MEdarkgrey","MEdarkturquoise","MElightgreen","MElightyellow","MEmagenta","MEgrey"
"SLE38",-0.0613455424223593,-0.0664621883124765,0.0184903047495907,-0.0341380535169241,-0.0170328192261426,-0.0419713684070133,0.0124052790302813,0.00786737593095153,-0.0671929858828266,-0.0897650547167053,-0.039175053812153,-0.0817102317923232,0.0655873596941643,0.0834301811706765,-0.0169764341124321,-0.0545782258584363,0.0766996876395385,-0.0848989042582769,-0.0610982798967379,-0.194926864292984,-0.0781147984584554,-0.0528351337252456,-0.125221543589061,-0.104087367447174,0.0818844579757858
"SLE40",0.468438757661475,0.82399717167974,0.602326318492698,-0.126788891081394,-0.122140549599378,-0.232126514467349,-0.0969688841202081,-0.285593131271473,-0.486155665292354,-0.343314643258636,-0.447351941514863,-0.750195545770293,-0.653952452797364,-0.172338886232362,-0.171184895303069,-0.170987897343616,-0.281978700595516,-0.035509408273312,-0.326503565876964,-0.414384706900113,-0.711501903073355,-0.251840740742759,-0.549983559545343,-0.210339703969983,0.0550055981494347
"SLE43",0.104522380214073,0.0100353037083117,-0.0775676370015525,-0.0175275394009321,0.0527743998430145,-0.0437216593488793,0.244964014715698,-0.000110410525992833,-0.0109907313718804,0.138150818543221,-0.0176318089656847,-0.0650161001742632,0.136729906175015,0.134778447937222,0.0490437030832103,-0.0239115743150573,-0.165918013734287,0.0247097875964936,-0.0935572709202619,-0.155292646002742,-0.289053592131344,-0.181388922767373,-0.180128680990484,-0.0449403477636425,0.240209755468023
"SLE47",-0.0535671426124117,0.0577723029759753,-0.0437560932729904,-0.062694179245322,-0.019689950486215,0.276622884637896,-0.0547711628717853,-0.0256878655652438,0.0236386408415313,0.304377775784891,-0.149978110743038,-0.0463099000073947,0.146677211827744,0.230685711452535,0.921930114393601,0.396861611233595,-0.0731182352255257,-0.0806751749129098,-0.0196392945571188,-0.260698869572136,-0.207170581598435,-0.183664279685954,-0.219889568792806,-0.135580619844622,-0.139832690184591
"SLE51",-0.0985728746066688,0.0160340474873288,0.0281516958435037,-0.000154077713224182,-0.0537879839933045,-0.049042705151162,-0.0296862335025228,-0.0565775024525161,-0.16791658335609,-0.103715815472778,-0.0253988242074479,-0.0769875658033357,-0.0471775397707599,0.0351930907334549,-0.0472345068942115,-0.0902845036867273,0.0611609752123303,0.0035254646967884,-0.0458357789559411,0.210808813600426,0.0648439507201204,0.0153494904017581,0.0892447411531383,0.00145785871780061,-0.0205866927570263
"SLE52",-0.109691336307032,0.0164476568043904,0.190562124170433,0.91722481605193,-0.00160162010339223,-0.01256659085022,0.016596087730281,-0.103532454661944,-0.0565122126471233,0.0627283101566287,0.103352641982527,-0.0570831810899595,-0.000343860639297275,-0.314882804181995,-0.00143434906206875,-0.00799756627596504,0.0519790037900192,0.0501701648562336,-0.0586331277402223,0.0781452001030821,0.2289386170904,0.154386285053397,-0.0762676680824683,-0.0586924050616015,-0.0306147908710071
"SLE62",-0.108983146847786,0.0328779906601021,-0.0656029078153771,-0.0202137294667342,-0.0382703946823067,0.0952465867656574,0.268393735145248,0.0270385452400647,-0.0348693740049817,0.0822945900665422,0.0871861385482213,0.0196331206078315,0.22558761304482,0.215957523960343,0.113568143305543,0.336250355405331,-0.0978286455681259,-0.028970226554816,-0.057554990427435,-0.108414706970477,-0.132264587097014,-0.187208387000493,-0.0828629891780761,-0.111596878579195,0.0685001344434079
"SLE67",-0.116945373247822,0.106164250466992,0.107131584950128,-0.0196270019375093,-0.0597582639959522,-0.161179150163334,-0.20646255438153,-0.104892723136206,0.472076638794686,0.124222408214238,-0.190008026584039,0.0106504603297656,0.0554886824091426,0.166620064330677,0.00060799902700407,-0.146681898758508,0.190613082620213,-0.0813162895767787,0.151016444306304,0.0380462867201817,-0.0516511157331387,-0.0128274280911049,-0.116131868359037,-0.120025368388472,-0.846928191725125
"SLE83",-0.14581212381436,-0.291759781909508,-0.145660726236387,-0.0648563310836198,0.0101182072911445,0.128949104853862,0.38228452514258,0.378181817742018,-0.261846755074506,-0.229804531670312,0.0358191196798058,-0.069213191511607,-0.133845112661426,-0.0336651452703667,-0.0509368645400362,-0.109424724325967,-0.0616048383157556,0.011605837913517,-0.0861825519481406,-0.292988473078982,-0.108944218774122,-0.214281640168165,-0.0315510334128324,-0.0715962268690454,0.108197382316519
"SLE85",0.0445871870053526,-0.0615371319384769,-0.0565067944091144,-0.00699033121665569,-0.0304306160131528,0.0876240201665995,0.150754887019523,0.0191831665317111,-0.173280764236853,-0.105375067476399,0.0133690951612868,-0.0298203934364647,-0.0695489601398496,0.00772529956751159,-0.0490586625471559,0.124411652017568,-0.0587286418483088,0.0171620100309093,-0.0319830229813015,-0.0960320000856742,0.0133646399341885,0.259185850252999,0.0849356084789293,-0.00542156602671138,0.122498010864055
"SLE86",-0.122240196937706,-0.135242586052806,-0.0704394113047866,-0.0570715195938005,0.0369466396345012,-0.0894453546478231,0.00236799981791811,-0.032198318933307,-0.0326484150240733,-0.0587540760148692,0.0189842311425571,-0.0741696236749566,-0.0801876912079374,-0.0339795855556696,-0.0587098269239998,-0.0433135166914956,-0.10286460888299,-0.0190429843672658,-0.0401738950045065,0.105771852390118,-0.0582385472997663,0.20586421277773,0.0537018198024729,0.0586265047779255,0.0567327769295522
"SLE87",-0.116964063479646,-0.0534319348912285,0.121705054730449,-0.037624583996899,0.010311162733995,-0.00381302318724963,0.00427347186156412,-0.0872284631018855,0.00325491983605704,0.107223083938401,-0.00446053416497424,-0.0858254158387494,-0.156326429773353,-0.177738659746831,0.0030589812581717,-0.0465395230870219,0.0340411033304465,-0.0107131009908731,-0.0926903587971362,-0.149067744194775,-0.0222836458566066,-0.117201094273101,-0.156809781681899,-0.125668389288217,0.00856411644485392
"SLE88",-0.197411324713935,-0.078131919067008,0.195558695528762,0.0110963724966676,-0.0250265347257692,-0.0767854010451606,0.194252423580094,-0.0442082118385564,-0.0493275970530756,0.0243568779593059,0.00437608298063054,-0.134773647186327,-0.15156949576854,-0.371339778064984,-0.0286204823937426,-0.0800982246403967,0.151688326655445,0.0903933074181577,-0.1156167768058,-0.105285617999191,0.15048434728916,0.00613161859027736,-0.100719426221143,-0.0940496597448723,0.0114850958158039
"SLE91",-0.200358185892889,-0.251204169245227,0.0518072962504254,-0.0304395384303796,-0.0291017210530943,0.30371280088659,0.320755908423524,0.800386792993336,-0.297052833404607,-0.265944581640482,-0.103054787776921,-0.11830638607435,-0.177247318598282,0.00943380159126158,-0.00625340549857529,-0.071851975326384,0.367521828211019,0.0291301655933409,0.00280928330199674,-0.25827738703637,-0.081992542144677,0.319982826915585,0.110638997282618,-0.00243007471300254,0.0102382414636983
