Number,gene_id,gene_symbol,posColors,negColors,K1,K2,DiffK,ttest,gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
14155,ST3GAL3,ST3GAL3,grey,purple,0.101109862,0.032811026,0.068298836,2.433919562,ST3GAL3,36.6125155401312,-0.300972572433891,-0.573699359972013,0.206660249560025,-1.45636411973108,0.145291988817157,0.518784915234461
14160,ST3GAL6,ST3GAL6,grey,yellow,0.101473372,0.219188164,-0.117714792,0.173248521,ST3GAL6,369.188784600213,0.00365870892763887,0.00400076053466043,0.115744393466089,0.0316102475297069,0.974782871127904,0.994230447982735
14162,ST6GALNAC2,ST6GALNAC2,grey,grey,0.102459967,0.019897672,0.082562295,-0.563419927,ST6GALNAC2,173.080545248971,0.0762637295893371,0.109704438245706,0.190573587778438,0.400179953992375,0.689023978186254,0.911835363243511
14163,ST6GALNAC3,ST6GALNAC3,grey,blue,0.101004786,0.026462468,0.074542317,0.598259875,ST6GALNAC3,141.19982997573,-0.0827876232728024,-0.110128085721154,0.178770889970896,-0.463093422459776,0.643297404500442,0.897389121796436
14164,ST6GALNAC4,ST6GALNAC4,grey,grey,0.099740287,0.020010333,0.079729954,0.497851965,ST6GALNAC4,139.455997496796,-0.0850895606059854,-0.0971491591899889,0.136495317940145,-0.623388127080652,0.533029498253653,0.855213740780205
14169,STAB1,STAB1,green,turquoise,0.196385644,0.050717385,0.145668259,-2.198231431,STAB1,1048.30062845435,0.264803315341975,0.286057600760611,0.10857801256061,2.43883000892246,0.0147348978521787,0.14226501051285
14177,STAG3L5P,STAG3L5P,grey,grey,0.087135769,0.015189228,0.071946542,0.906537257,STAG3L5P,11.7164247865991,0.164149653593336,0.256602767092156,0.1987467182983,0.825923844171167,0.408847293674861,0.784828666060828
14178,STAG3L5P-PVRIG2P-PILRB,STAG3L5P-PVRIG2P-PILRB,grey,purple,0.079976756,0.039149013,0.040827742,2.071604125,STAG3L5P-PVRIG2P-PILRB,15.8527969053223,-0.341797703845802,-0.478022071781589,0.186492919870941,-1.83276504052988,0.0668375201779991,0.358052012153139
14180,STAM2,STAM2,grey,yellow,0.074107677,0.03663528,0.037472397,0.498584911,STAM2,470.118591545143,-0.0697361144814626,-0.0801969486756888,0.139395057216864,-0.500276809478046,0.616880180903398,0.888776246821441
14193,STAT5A,STAT5A,grey,turquoise,0.111351276,0.335463672,-0.224112396,-0.654744931,STAT5A,1055.03395806129,0.0748166558892903,0.0776210321133758,0.0772446608478264,0.968567342624245,0.332761103976885,0.726878383970108
14194,STAT5B,STAT5B,green,blue,0.084390721,0.335272089,-0.250881368,0.138232486,STAT5B,808.025804062762,-0.0117484008628664,-0.0121187957336164,0.0712568010697255,-0.164874098843849,0.869043079500803,0.967256552736979
14199,STEAP3,STEAP3,grey,turquoise,0.090079967,0.115431918,-0.025351951,2.456224359,STEAP3,164.897269169746,-0.33453595349188,-0.42827537569262,0.171033946648697,-1.95596231068102,0.0504695941033298,0.307132589735904
